tile000: grass, grass, water, grass
tile001: grass, grass, water, water
tile002: grass, grass, grass, water
tile003: water, water, grass, water
tile004: water, water, water, grass
tile005: grass, water, water, grass
tile006: water, water, water, water
tile007: water, grass, grass, water
tile008: water, grass, water, water
tile009: grass, water, water, water
tile010: grass, water, grass, grass
tile011: water, water, grass, grass
tile012: water, grass, grass, grass
tile013: water, grass, water, grass
tile014: grass, water, grass, water
tile015: water, water, water, water
tile016: grass, grass, grass, grass
